program-name,current-version,experimental-version,status
qtmultimedia-5.15.18,bin,bin,SAME
njuvisual-0.3.0,tex,tex,SAME
vancouver-1.0,tex,tex,SAME
postgresql-17.8,doc,doc,SAME
chextras-1.01,tex,tex,SAME
bewerbung-1.3,tex,tex,SAME
context-legacy-70191,texdoc,texdoc,SAME
lsof,4.99.5,4.99.5,SAME
resphilosophica-1.35,tex,tex,SAME
dvipdfmx,73031,73031,SAME
nbd,3.25,3.25,SAME
upquote-1.3,tex,tex,SAME
qttools,6.10.1,6.10.1,SAME
worldflags-68827,tex,tex,SAME
canoniclayout-1.0,tex,tex,SAME
dvisvgm-3.2.2,texdoc,texdoc,SAME
quickshell-logs-fish,completions,completions,SAME
python3.12-platformdirs,4.5.0,4.5.0,SAME
jsclasses-66093,tex,tex,SAME
mkgrkindex-2.0,tex,tex,SAME
mkgrkindex,2.0,2.0,SAME
foot-1.25.0_fish,completions,completions,SAME
libatasmart,0.19,0.19,SAME
fontinst,1.933,1.933,SAME
datetime2-romanian-1.02,tex,tex,SAME
lcd-0.3,tex,tex,SAME
gnutar-1.35_fish,completions,completions,SAME
opbible-0.31,tex,tex,SAME
aboensis-62977,tex,tex,SAME
keycommand-3.1415,tex,tex,SAME
hyphen-romanian-73410,tex,tex,SAME
perl-5.40.0,man,man,SAME
perl5.40.0-IPC-System-Simple,1.30,1.30,SAME
latex-git-log-1.1.0,tex,tex,SAME
latex-git-log,1.1.0,1.1.0,SAME
lm-math-1.959,tex,tex,SAME
drawstack-28582,tex,tex,SAME
gtksourceview,5.18.0,5.18.0,SAME
dvi2tty-6.0.0,texdoc,texdoc,SAME
libedit-20251016,3.1,3.1,SAME
dash,0.5.13.1,0.5.13.1,SAME
getty,unknown,unknown,SAME
tabularew-0.1,tex,tex,SAME
graphics-cfg-41448,tex,tex,SAME
libidn,1.43,1.43,SAME
perl5.40.0-FCGI,0.82,0.82,SAME
perl5.40.0-TimeDate,2.33,2.33,SAME
perl5.40.0-HTTP-Date,6.06,6.06,SAME
perl5.40.0-LWP-MediaTypes,6.04,6.04,SAME
perl5.40.0-Encode-Locale,1.05,1.05,SAME
perl5.40.0-IO-HTML,1.004,1.004,SAME
perl5.40.0-URI,5.21,5.21,SAME
perl5.40.0-HTTP-Message,6.45,6.45,SAME
perl5.40.0-HTML-Tagset,3.20,3.20,SAME
perl5.40.0-HTML-Parser,3.81,3.81,SAME
perl5.40.0-CGI,4.59,4.59,SAME
perl5.40.0-TermReadKey,2.38,2.38,SAME
perl5.40.0-HTML-TagCloud,0.38,0.38,SAME
perl5.40.0-Mozilla-CA,20230821,20230821,SAME
perl5.40.0-Net-SSLeay,1.92,1.92,SAME
perl5.40.0-IO-Socket-SSL,2.083,2.083,SAME
perl5.40.0-FCGI-ProcManager,0.28,0.28,SAME
gnused,4.9,4.9,SAME
perl5.40.0-Digest-HMAC,1.05,1.05,SAME
perl5.40.0-Crypt-URandom,0.54,0.54,SAME
perl5.40.0-Authen-SASL,2.1900,2.1900,SAME
git-2.51.2,doc,doc,SAME
perl5.40.0-HTTP-Negotiate,6.01,6.01,SAME
perl5.40.0-WWW-RobotRules,6.02,6.02,SAME
perl5.40.0-Test-Needs,0.002010,0.002010,SAME
perl5.40.0-HTTP-Cookies,6.10,6.10,SAME
perl5.40.0-Try-Tiny,0.31,0.31,SAME
perl5.40.0-Test-Fatal,0.017,0.017,SAME
perl5.40.0-Test-RequiresInternet,0.05,0.05,SAME
perl5.40.0-File-Listing,6.16,6.16,SAME
perl5.40.0-HTTP-CookieJar,0.014,0.014,SAME
perl5.40.0-Net-HTTP,6.23,6.23,SAME
perl5.40.0-HTTP-Daemon,6.16,6.16,SAME
perl5.40.0-libwww-perl,6.72,6.72,SAME
perl5.40.0-CGI-Fast,2.16,2.16,SAME
